,CSF,GM,WM,case,algorithm,time,iterations,init,atlas,atlas_use,model
134,0.1022271861244333,0.8963403354780337,0.93831257944124,1024,em_lp_ours,75.82459163665771,300,lp,ours,-,em
135,0.1367508442965875,0.8354368121801944,0.908480226299549,1024,em_km_af_mni,2.533777952194214,0,km,mni,af,em
136,0.2554810209424084,0.8866427408758408,0.9381175748983172,1024,em_km_af_ours,2.446487665176392,0,km,ours,af,em
137,0.2854273879753985,0.8113629051534684,0.9005952178769163,1024,em_tm_af_mni,0.36618804931640625,0,tm,mni,af,em
138,0.4661359363123575,0.8735046341167316,0.9332247825281788,1024,em_tm_af_ours,0.34499573707580566,0,tm,ours,af,em
139,0.3442818198660773,0.8562571932786005,0.91836804711003,1024,em_tm_lp_af_mni,0.2850358486175537,0,tm,af,lp,em
140,0.6401238283601342,0.919562581888827,0.9528266236193432,1024,em_tm_lp_af_ours,0.28281474113464355,0,tm,af,lp,em
141,0.0,0.0,0.7662418693036317,1024,em_km_in_mni,13.02579116821289,31,km,mni,in,em
142,0.0,0.0,0.7662418693036317,1024,em_km_in_ours,12.981028079986572,30,km,ours,in,em
143,0.2959868188772508,0.8691316389752023,0.9284915506030662,1024,em_tm_in_mni,22.212764739990234,73,tm,mni,in,em
144,0.3735391153609573,0.905127293341093,0.9429150389775912,1024,em_tm_in_ours,24.667349576950073,85,tm,ours,in,em
145,0.2959868188772508,0.8691316389752023,0.9284915506030662,1024,em_tm_lp_in_mni,21.118204832077026,69,tm,in,lp,em
146,0.3735391153609573,0.905127293341093,0.9429150389775912,1024,em_tm_lp_in_ours,24.189563274383545,84,tm,in,lp,em
147,0.4589214120408096,0.9154414814145968,0.8723749939524809,1025,tm,-,-,-,-,-,tm
148,0.3535312594994427,0.6791997642194987,0.7913130789277693,1025,lp_ours,-,-,ours,-,-,lp
149,0.3764321620862997,0.6356119251094435,0.7249744624660538,1025,lp_mni,-,-,mni,-,-,lp
150,0.8072869508529209,0.9083047772838956,0.9525002949293044,1025,tm+lp_ours,-,-,ours,-,-,tm
151,0.6085651272260443,0.8470566510924832,0.9068943238128376,1025,tm+lp_mni,-,-,mni,-,-,tm
152,0.7288031986852522,0.8566206906228514,0.920223589967773,1025,em_km,74.4156608581543,268,km,-,-,em
153,0.7288031986852522,0.8566206906228514,0.920223589967773,1025,em_tm,64.82712912559509,259,tm,-,-,em
154,0.0,0.812582688419651,0.8887421310065539,1025,em_lp_mni,71.00085639953613,300,lp,mni,-,em
155,0.7288031986852522,0.8566206906228514,0.920223589967773,1025,em_lp_ours,36.27360415458679,143,lp,ours,-,em
156,0.6049868059669341,0.8111978896922237,0.8946566354063428,1025,em_km_af_mni,2.31896448135376,0,km,mni,af,em
157,0.6841849851834261,0.8791408996141062,0.9304284847459344,1025,em_km_af_ours,2.146698474884033,0,km,ours,af,em
158,0.6049868059669341,0.8111978896922237,0.8946566354063428,1025,em_tm_af_mni,0.34615206718444824,0,tm,mni,af,em
159,0.6841849851834261,0.8791408996141062,0.9304284847459344,1025,em_tm_af_ours,0.3489675521850586,0,tm,ours,af,em
160,0.1857943249593349,0.7766505354866027,0.8704584657095013,1025,em_tm_lp_af_mni,0.2675750255584717,0,tm,af,lp,em
161,0.6841849851834261,0.8791408996141062,0.9304284847459344,1025,em_tm_lp_af_ours,0.29839444160461426,0,tm,af,lp,em
162,0.0,0.8371804998413088,0.8964057333692019,1025,em_km_in_mni,24.713032484054565,70,km,mni,in,em
163,0.0,0.856625371973785,0.9076701997683052,1025,em_km_in_ours,103.32247352600098,300,km,ours,in,em
164,0.6976701202419214,0.8371971488501619,0.9124826080097336,1025,em_tm_in_mni,20.48850107192993,69,tm,mni,in,em
165,0.6976701202419214,0.8730360992678207,0.9248134956497084,1025,em_tm_in_ours,22.973829746246338,78,tm,ours,in,em
166,0.6976701202419214,0.8371971488501619,0.9124826080097336,1025,em_tm_lp_in_mni,20.764886617660522,71,tm,in,lp,em
167,0.6976701202419214,0.8730360992678207,0.9248134956497084,1025,em_tm_lp_in_ours,23.83319330215454,81,tm,in,lp,em
168,0.349565082323703,0.89468258795659,0.8978055306642938,1038,tm,-,-,-,-,-,tm
169,0.7176893189648853,0.7323866931033838,0.8172017983091743,1038,lp_ours,-,-,ours,-,-,lp
170,0.7234459867229933,0.6746427865427526,0.7493383943372481,1038,lp_mni,-,-,mni,-,-,lp
171,0.8516939969659756,0.9216291182986068,0.9456783355424468,1038,tm+lp_ours,-,-,ours,-,-,tm
172,0.3759323031131569,0.8638703036541431,0.902923818229008,1038,tm+lp_mni,-,-,mni,-,-,tm
173,0.0001318290177639,0.770382523146528,0.9363968025995316,1038,em_km,68.8773500919342,300,km,-,-,em
174,0.0963824121582126,0.9053941225868748,0.9353878534250628,1038,em_tm,56.93992877006531,300,tm,-,-,em
175,0.199595662562029,0.8955450428176761,0.9319074940824096,1038,em_lp_mni,57.37615633010864,300,lp,mni,-,em
176,0.1997180163060136,0.8955450428176761,0.9319010043990772,1038,em_lp_ours,57.82463312149048,300,lp,ours,-,em
177,0.1364443317271113,0.8313319804492999,0.8986143528556603,1038,em_km_af_mni,1.823293685913086,0,km,mni,af,em
178,0.3210416363018024,0.8905900093684089,0.9334030300075988,1038,em_km_af_ours,1.6823158264160156,0,km,ours,af,em
179,0.4201424211597152,0.8558500099497323,0.9117335516105808,1038,em_tm_af_mni,0.26915860176086426,0,tm,mni,af,em
180,0.644327548357702,0.9178346810966356,0.9483498487402556,1038,em_tm_af_ours,0.2963111400604248,0,tm,ours,af,em
